Modelo,Acurácia,Precision,Recall,F1-score,ROC-AUC
Regressão Logística,0.7991266375545851,0.3793103448275862,0.6875,0.4888888888888889,0.8504124365482234
Random Forest,0.9170305676855895,0.7407407407407407,0.625,0.6779661016949152,0.907519035532995
Gradient Boosting,0.8995633187772926,0.68,0.53125,0.5964912280701754,0.8718274111675128
