Variável,Importância
alcohol,0.22337261194526534
citric acid,0.14740618442272233
sulphates,0.1432985562000416
volatile acidity,0.1130278956735174
density,0.06917133633276235
fixed acidity,0.06320793250614125
total sulfur dioxide,0.06158928190350025
chlorides,0.052869570749741954
pH,0.04731751944359154
residual sugar,0.042331964239377795
free sulfur dioxide,0.036407146583338275
